Time,Start Side,Left duration (min),Right duration (min),Total Duration (min),Left amount (ml),Right amount (ml),Total amount (ml),Note
"9/19/24, 2:26 PM",,,,,,,70
"9/19/24, 8:18 AM",,,,,30,45,75
"9/19/24, 3:06 AM",,,,,45,20,65
"9/18/24, 10:30 PM",,,,,,,70
"9/18/24, 4:11 PM",,20,20,40,60,40,100
"9/18/24, 8:32 AM",,20,20,40,40,30,70
"9/18/24, 3:16 AM",,,,,,,100
"9/17/24, 8:16 PM",,,,,,,70
"9/17/24, 2:53 PM",,,,,50,30,80
"9/17/24, 9:16 AM",,20,20,40,50,35,85
"9/17/24, 2:56 AM",,,,,,,80
"9/16/24, 8:40 PM",,20,20,40,50,30,80
"9/16/24, 3:44 PM",,20,20,40,50,30,80
"9/16/24, 10:13 AM",,20,20,40,40,40,80
"9/16/24, 3:37 AM",,20,20,40,,,90
"9/15/24, 9:14 PM",,20,20,40,50,40,90
"9/15/24, 4:28 PM",,,,,55,40,95
"9/15/24, 9:31 AM",,20,20,40,,,80
"9/15/24, 3:00 AM",,20,20,40,,,85
"9/14/24, 9:08 PM",,,,,,,90
"9/14/24, 2:22 PM",,20,20,40,,,80
"9/14/24, 8:50 AM",,,,,30,50,80
"9/14/24, 3:27 AM",,20,20,40,,,80
"9/13/24, 10:36 PM",,20,20,40,,,75
"9/13/24, 5:29 PM",,,,,40,30,70
"9/13/24, 12:53 PM",,,,,40,30,70
"9/13/24, 8:00 AM",,,,,,,90
"9/13/24, 1:37 AM",,20,20,40,50,40,90
"9/12/24, 7:07 PM",,20,20,40,40,30,70
"9/12/24, 2:17 PM",,20,20,40,60,40,100
"9/12/24, 8:15 AM",,20,20,40,,,80
"9/12/24, 2:10 AM",,20,20,40,,,80
"9/11/24, 6:30 PM",,,,,,,60
"9/11/24, 2:12 PM",,20,20,40,,,80
"9/11/24, 8:00 AM",,,,,50,40,90
"9/11/24, 2:10 AM",,20,20,40,50,35,85
"9/10/24, 7:13 PM",,,,,40,30,70
"9/10/24, 2:20 PM",,,,,45,30,75
"9/10/24, 7:47 AM",,20,20,40,,,70
"9/10/24, 2:10 AM",,20,20,40,70,50,120
"9/9/24, 3:36 PM",,,,,30,40,70
"9/9/24, 10:40 AM",,,,,40,30,70
"9/9/24, 4:58 AM",,,,,50,30,80
"9/8/24, 10:29 PM",,,,,40,30,70
"9/8/24, 5:13 PM",,,,,,,70
"9/8/24, 12:00 PM",,,,,,,80
"9/8/24, 5:28 AM",,,,,75,60,135
"9/7/24, 6:50 PM",,,,,60,30,90
"9/7/24, 1:10 PM",,,,,50,40,90
"9/7/24, 5:16 AM",,,,,,,80
"9/6/24, 11:50 PM",,,,,50,30,80
"9/6/24, 5:30 PM",,,,,,,80
"9/6/24, 10:24 AM",,,,,,,60
"9/6/24, 7:00 AM",,,,,80,50,130
"9/5/24, 9:10 PM",,,,,,,60
"9/5/24, 3:27 PM",,,,,40,40,80
"9/5/24, 9:38 AM",,,,,,,80
"9/5/24, 4:30 AM",,,,,40,60,100
"9/4/24, 9:51 PM",,20,20,40,50,40,90
"9/4/24, 5:16 PM",,20,20,40,,,60
"9/4/24, 11:08 AM",,,,,,,80
"9/4/24, 4:25 AM",,20,20,40,50,30,80
"9/3/24, 10:05 PM",,20,20,40,,,
"9/3/24, 4:45 PM",,,,,,,80
"9/3/24, 10:04 AM",,20,20,40,,,60
"9/3/24, 5:05 AM",,20,20,40,60,40,100
"9/2/24, 9:00 PM",,,,,60,35,95
"9/2/24, 2:59 PM",,20,20,40,,,80
"9/2/24, 9:15 AM",,,,,,,60
"9/2/24, 3:59 AM",,20,20,40,60,40,100
"9/1/24, 9:30 PM",,20,20,40,,,80
"9/1/24, 2:25 PM",,20,20,40,,,80
"9/1/24, 8:20 AM",,20,20,40,,,75
"9/1/24, 2:00 AM",,20,20,40,40,30,70
"8/31/24, 8:25 PM",,20,20,40,50,30,80
"8/31/24, 2:30 PM",,20,20,40,40,30,70
"8/31/24, 9:00 AM",,,,,,,70
"8/31/24, 3:57 AM",,20,20,40,,,80
"8/30/24, 9:15 PM",,20,20,40,55,40,95
"8/30/24, 4:00 PM",,20,20,40,60,30,90
